;UF;city;Lat;Long;height;availability;availability time
5091;PR;Tapejara;-23.753;-52.76;389.0;99.999;5.0
5092;RS;Tapejara;-28.068;-52.01;0.0;99.999;5.0
5093;RS;Tapera;-28.626;-52.76;0.0;99.999;5.0
5094;BA;Taperoá;-13.5;-39.1;124.0;99.998;11.0
5095;PB;Taperoá;-7.258;-36.75;0.0;99.999;5.0
5096;RS;Tapes;-30.673;-51.4;0.0;99.999;5.0
5097;MG;Tapira;-19.922;-46.75;1038.0;99.999;5.0
5098;PR;Tapira;-23.323;-53.07;725.0;99.999;5.0
5099;MG;Tapiraí;-19.756;-46.02;1149.0;99.999;5.0
5100;SP;Tapiraí;-23.964;-47.5;642.0;99.999;5.0
5101;BA;Tapiramutá;-11.755;-40.79;360.0;99.999;5.0
5102;SP;Tapiratiba;-21.468;-46.75;794.0;99.999;5.0
5103;MT;Tapurah;-12.759;-56.5;0.0;99.999;5.0
5104;RS;Taquara;-29.651;-50.78;699.0;99.999;5.0
5105;MG;Taquaraçu de Minas;-19.67;-43.69;763.0;99.999;5.0
5106;SP;Taquaral;-21.072;-48.41;627.0;99.999;5.0
5107;GO;Taquaral de Goiás;-16.054;-49.61;0.0;99.999;5.0
5108;AL;Taquarana;-9.645;-36.5;0.0;99.998;11.0
